Recipe Name,Ingredients,Cost to Make,Npc Value,Profit,Type,Table
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Carapacian Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Carapacian Cloth Straps, (2)Constantan Binding, (2)Chunk of Coal",3060,300,-2910,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Carapacian Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Carapacian Cloth Straps, (2)Copper Binding, (2)Chunk of Coal",2842,300,-2692,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Carapacian Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Carapacian Cloth Straps, (2)Iron Binding, (2)Chunk of Coal",2842,300,-2692,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Carapacian Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Carapacian Cloth Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",3180,300,-3030,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Carapacian Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Carapacian Cloth Straps, (2)White Iron Binding, (2)Chunk of Coal",3180,300,-3030,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Cotton Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Cotton Cloth Strap, (2)Bronze Binding, (2)Chunk of Coal",2736,300,-2586,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Cotton Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Cotton Cloth Strap, (2)Constantan Binding, (2)Chunk of Coal",2736,300,-2586,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Cotton Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Cotton Cloth Strap, (2)Copper Binding, (2)Chunk of Coal",2518,300,-2368,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Cotton Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Cotton Cloth Strap, (2)Iron Binding, (2)Chunk of Coal",2518,300,-2368,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Cotton Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Cotton Cloth Strap, (2)Meteoric Iron Binding, (2)Chunk of Coal",2856,300,-2706,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Cotton Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Cotton Cloth Strap, (2)White Iron Binding, (2)Chunk of Coal",2856,300,-2706,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Fustian Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Fustian Cloth Straps, (2)Bronze Binding, (2)Chunk of Coal",3060,300,-2910,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Fustian Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Fustian Cloth Straps, (2)Constantan Binding, (2)Chunk of Coal",3060,300,-2910,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Fustian Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Fustian Cloth Straps, (2)Copper Binding, (2)Chunk of Coal",2842,300,-2692,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Fustian Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Fustian Cloth Straps, (2)Iron Binding, (2)Chunk of Coal",2842,300,-2692,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Fustian Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Fustian Cloth Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",3180,300,-3030,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Fustian Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Fustian Cloth Straps, (2)White Iron Binding, (2)Chunk of Coal",3180,300,-3030,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Hardened Leather Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Hardened Leather Straps, (2)Bronze Binding, (2)Chunk of Coal",3036,300,-2886,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Hardened Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Hardened Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",3036,300,-2886,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Hardened Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Hardened Leather Straps, (2)Copper Binding, (2)Chunk of Coal",2818,300,-2668,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Hardened Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Hardened Leather Straps, (2)Iron Binding, (2)Chunk of Coal",2818,300,-2668,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Hardened Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Hardened Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",3156,300,-3006,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Hardened Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Hardened Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",3156,300,-3006,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Leather Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Leather Straps, (2)Bronze Binding, (2)Chunk of Coal",2730,300,-2580,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",2730,300,-2580,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Leather Straps, (2)Copper Binding, (2)Chunk of Coal",2512,300,-2362,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Leather Straps, (2)Iron Binding, (2)Chunk of Coal",2512,300,-2362,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",2850,300,-2700,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",2850,300,-2700,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Supple Leather Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Supple Leather Straps, (2)Bronze Binding, (2)Chunk of Coal",3036,300,-2886,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Supple Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Supple Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",3036,300,-2886,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Supple Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Supple Leather Straps, (2)Copper Binding, (2)Chunk of Coal",2818,300,-2668,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Supple Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Supple Leather Straps, (2)Iron Binding, (2)Chunk of Coal",2818,300,-2668,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Supple Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Supple Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",3156,300,-3006,Production,Blacksmithing
Plate Chest Armor of Quickness/Constantan Plate Chest Armor with Supple Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Constantan Sheet, (3)Supple Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",3156,300,-3006,Production,Blacksmithing
Plate Chest Armor of Quickness/Copper Plate Chest Armor with Cotton Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Cotton Cloth Strap, (2)Constantan Binding, (2)Chunk of Coal",774,300,-624,Production,Blacksmithing
Plate Chest Armor of Quickness/Copper Plate Chest Armor with Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",768,300,-618,Production,Blacksmithing
Plate Chest Armor of Quickness/Iron Plate Chest Armor with Cotton Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Cotton Cloth Strap, (2)Constantan Binding, (2)Chunk of Coal",774,300,-624,Production,Blacksmithing
Plate Chest Armor of Quickness/Iron Plate Chest Armor with Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",768,300,-618,Production,Blacksmithing
Plate Chest Armor of Strength/Copper Plate Chest Armor with Cotton Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Cotton Cloth Strap, (2)White Iron Binding, (2)Chunk of Coal",894,300,-744,Production,Blacksmithing
Plate Chest Armor of Strength/Copper Plate Chest Armor with Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Copper Sheet, (3)Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",888,300,-738,Production,Blacksmithing
Plate Chest Armor of Strength/Iron Plate Chest Armor with Cotton Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Cotton Cloth Strap, (2)White Iron Binding, (2)Chunk of Coal",894,300,-744,Production,Blacksmithing
Plate Chest Armor of Strength/Iron Plate Chest Armor with Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)Iron Sheet, (3)Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",888,300,-738,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Carapacian Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Carapacian Cloth Straps, (2)Bronze Binding, (2)Chunk of Coal",4140,300,-3990,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Carapacian Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Carapacian Cloth Straps, (2)Constantan Binding, (2)Chunk of Coal",4140,300,-3990,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Carapacian Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Carapacian Cloth Straps, (2)Copper Binding, (2)Chunk of Coal",3922,300,-3772,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Carapacian Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Carapacian Cloth Straps, (2)Iron Binding, (2)Chunk of Coal",3922,300,-3772,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Carapacian Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Carapacian Cloth Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",4260,300,-4110,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Carapacian Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Carapacian Cloth Straps, (2)White Iron Binding, (2)Chunk of Coal",4260,300,-4110,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Cotton Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Cotton Cloth Strap, (2)Bronze Binding, (2)Chunk of Coal",3816,300,-3666,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Cotton Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Cotton Cloth Strap, (2)Constantan Binding, (2)Chunk of Coal",3816,300,-3666,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Cotton Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Cotton Cloth Strap, (2)Copper Binding, (2)Chunk of Coal",3598,300,-3448,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Cotton Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Cotton Cloth Strap, (2)Iron Binding, (2)Chunk of Coal",3598,300,-3448,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Cotton Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Cotton Cloth Strap, (2)Meteoric Iron Binding, (2)Chunk of Coal",3936,300,-3786,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Cotton Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Cotton Cloth Strap, (2)White Iron Binding, (2)Chunk of Coal",3936,300,-3786,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Fustian Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Fustian Cloth Straps, (2)Bronze Binding, (2)Chunk of Coal",4140,300,-3990,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Fustian Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Fustian Cloth Straps, (2)Constantan Binding, (2)Chunk of Coal",4140,300,-3990,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Fustian Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Fustian Cloth Straps, (2)Copper Binding, (2)Chunk of Coal",3922,300,-3772,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Fustian Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Fustian Cloth Straps, (2)Iron Binding, (2)Chunk of Coal",3922,300,-3772,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Fustian Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Fustian Cloth Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",4260,300,-4110,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Fustian Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Fustian Cloth Straps, (2)White Iron Binding, (2)Chunk of Coal",4260,300,-4110,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Hardened Leather Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Hardened Leather Straps, (2)Bronze Binding, (2)Chunk of Coal",4116,300,-3966,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Hardened Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Hardened Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",4116,300,-3966,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Hardened Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Hardened Leather Straps, (2)Copper Binding, (2)Chunk of Coal",3898,300,-3748,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Hardened Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Hardened Leather Straps, (2)Iron Binding, (2)Chunk of Coal",3898,300,-3748,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Hardened Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Hardened Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",4236,300,-4086,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Hardened Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Hardened Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",4236,300,-4086,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Leather Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Leather Straps, (2)Bronze Binding, (2)Chunk of Coal",3810,300,-3660,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",3810,300,-3660,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Leather Straps, (2)Copper Binding, (2)Chunk of Coal",3592,300,-3442,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Leather Straps, (2)Iron Binding, (2)Chunk of Coal",3592,300,-3442,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",3930,300,-3780,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",3930,300,-3780,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Supple Leather Strap and Bronze Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Supple Leather Straps, (2)Bronze Binding, (2)Chunk of Coal",4116,300,-3966,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Supple Leather Strap and Constantan Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Supple Leather Straps, (2)Constantan Binding, (2)Chunk of Coal",4116,300,-3966,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Supple Leather Strap and Copper Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Supple Leather Straps, (2)Copper Binding, (2)Chunk of Coal",3898,300,-3748,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Supple Leather Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Supple Leather Straps, (2)Iron Binding, (2)Chunk of Coal",3898,300,-3748,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Supple Leather Strap and Meteoric Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Supple Leather Straps, (2)Meteoric Iron Binding, (2)Chunk of Coal",4236,300,-4086,Production,Blacksmithing
Plate Chest Armor of Strength/White Iron Plate Chest Armor with Supple Leather Strap and White Iron Binding,"Smithing Hammer, Hot Chisel, (6)White Iron Sheet, (3)Supple Leather Straps, (2)White Iron Binding, (2)Chunk of Coal",4236,300,-4086,Production,Blacksmithing
Plate Chest Armor,"Smithing Hammer, (10)Metal Sheet, Metal Binding, (2)Chunk of Coal",752,300,-602,Production,Blacksmithing
Plate Gauntlets,"Smithing Hammer, Hot Chisel, (2)Metal Sheet, Strap, (2)Chunk of Coal",155,57,-126.5,Production,Blacksmithing
Plate Helm,"Smithing Hammer, Hot Chisel, (3)Metal Sheet, Strap, Chunk of Coal",224,53,-197.5,Production,Blacksmithing
Plate Leggings of Defense/Iron Plate Leggings with Cotton Strap and Iron Binding,"Smithing Hammer, Hot Chisel, (5)Iron Sheet, (2)Cotton Cloth Strap, Iron Binding, (2)Chunk of Coal",436,180,-346,Production,Blacksmithing
Plate Leggings,"Smithing Hammer, Hot Chisel, (5)Metal Sheet, (2)Strap, Metal Binding, (2)Chunk of Coal",402,180,-312,Production,Blacksmithing
Plate of Apple Pie,"Cooking Pot, Apple, Butter, Sack of Flour, Sack of Sugar, Cinnamon Bark, (4)Wooden Plate",50,25,-37.5,Production,Cooking
Plate of Baked Trout,"Cooking Pot, (2)Trout Fillet, Pepper, Flask of Cooking Oil, Bottle of Wine, (2)Wooden Plate",63,25,-50.5,Production,Cooking
Plate of Carmelized Onion Quiche,"Cooking Pot, Flask of Cooking Oil, Bottle of Milk, (2)Onion, Sack of Salt, Pepper, Flask of Vinegar, (3)Egg, Wedge of Cheese, (4)Wooden Plate",112,25,-99.5,Production,Cooking
Plate of Chaox Pork and Beef Loaf,"Cooking Pot, (2)Bovine Meat, (2)Pork Meat, Garlic, Sack of Salt, Onion, (2)Egg, Bottle of Milk, Tomato, Pepper, (4)Wooden Plate",60,25,-47.5,Production,Cooking
Plate of Crackling and Oil,"Cooking Pot, (3)Fat, Wooden Plate, Flask of Cooking Oil",43,25,-30.5,Production,Cooking
Plate of Darkstarr Smoked Duck,"Cooking Pot, (4)Duck Meat, Bottle of Wine, Sack of Salt, Flask of Cooking Oil, Tea Leaves, Sack of Sugar, Cinnamon Bark, (2)Wooden Plate",69,25,-56.5,Production,Cooking
Plate of Pumpkin Pie,"Cooking Pot, Pie Dough, Cinnamon Bark, Pumpkin, (4)Wooden Plate",50,25,-37.5,Production,Cooking
Plate of Sauteed Bass,"Cooking Pot, (2)Bass Fillet, Flask of Cooking Oil, (2)Wooden Plate",38,,-38,Production,Cooking
Plate of Sugar Cookies,"Cooking Pot, Sack of Flour, Wooden Plate, Sack of Salt, Sack of Sugar, Butter",29,,-29,Production,Cooking
Plate of White Cake,"Cooking Pot, Sack of Flour, Sack of Sugar, Butter, Vanilla Bean, Bottle of Milk, Jar of Yeast Culture, (4)Wooden Plate",72,,-72,Production,Cooking
Podium,"Carpentry Hammer, (11)Wooden Boards",33,30,-18,Production,Carpentry
Poison Potion,"Mortar and Pestle, (8)Nightshade, (8)Corpse Wax, Empty Flask",40,,-40,Production,Alchemy
Pork Meat,"Cleaver, Pig Carcass",3,4,-1,Refining,Butchery
Pork Sausage Links,,8,8,-4,Gathering,Gathering
Potato,,1,1,-0.5,Gathering,Gathering
Protractor Angle Finder,,25,25,-12.5,Gathering,Gathering
Pumpkin,,1,1,-0.5,Gathering,Gathering
Purple Dye,"Tanning Knife, (5)Maple Tree Bark, (2)Cinnamon Bark, (2)Chunk of Coal",182,,-182,Refining,Tanning
Rabbit Carcass,,2,2,-1,Gathering,Gathering
Rabbit Meat,"Cleaver, Rabbit Carcass",2,,-2,Refining,Butchery
Raw Cotton,,4,4,-2,Gathering,Gathering
Rawhide Mallet,,0,2,1,Tool,Tool
Recall Scroll,"Mortar and Pestle, (5)Wood Pulp, (10)Nightshade, (10)Black Pearl",75,15,-67.5,Production,Alchemy
Rectangle Shield,"Smithing Hammer, Metal Sheet, (2)Metal Binding, Strap, Chunk of Coal",132,20,-122,Production,Blacksmithing
Red Dye,"Tanning Knife, (15)Apple, (2)Chunk of Coal",21,,-21,Refining,Tanning
Red Pine Timber,"Cubit Measure, (4)Pine Timber, (4)Creosote, Pine Tar",134,,-134,Refining,Milling
Red Stall Awning,"Carpentry Hammer, (20)Wooden Boards, (10)Bolt of Cloth, Blue Dye",942,,-942,Production,Carpentry
Red Wood Timber,"Cubit Measure, (2)Maple Timber, (4)Creosote, Pine Tar",70,,-70,Refining,Milling
Repair Kit - Blacksmithing,"Smithing Hammer, (3)Iron Ingot, (2)Leather",105,50,-80,Production,Blacksmithing
Repair Kit - Blacksmithing,"Smithing Hammer, (3)Copper Ingot, (2)Leather",105,,-105,Production,Blacksmithing
Repair Kit - Carpentry,"Carpentry Hammer, (2)Wooden Bindings, (2)Metal Binding",68,50,-43,Production,Carpentry
Repair Kit - Tailoring,"Tailoring Scissors, (2)Bolt of Cotton Cloth, (2)Leather",120,50,-95,Production,Tailoring
Ring of Tempestry,"Mortar and Pestle, Ring, Tempestry Jewel, (5)Mandrake Root",688,10,-683,Production,Alchemy
Ring,"Smithing Hammer, (5)Coil of Metal Wire, Chunk of Coal",248,10,-243,Production,Blacksmithing
Rock Maple Binding,"Wood Rasp, Rock Maple Timber, (3)Wax",178,5,-175.5,Production,Carpentry
Rock Maple Board,"Cubit Measure, Rock Maple Timber, Creosote",173,,-173,Refining,Milling
Rock Maple Handle,"Carpentry Hammer, Rock Maple Timber, Wax",174,90,-129,Production,Carpentry
Rock Maple Heartwood,"Wood Rasp, (4)Rock Maple Timber, Wax",690,30,-675,Production,Carpentry
Rock Maple Long Bow with Carapacian Bow String,"Carpentry Hammer, Long Rock Maple Bowstave, (2)Carapacian Bow String, (5)Wax",3016,200,-2916,Production,Carpentry
Rock Maple Long Bow with Fustian Bow String,"Carpentry Hammer, Long Rock Maple Bowstave, (2)Fustian Bow String, (5)Wax",3016,200,-2916,Production,Carpentry
Rock Maple Long Bow with Hardened Leather Bow String,"Carpentry Hammer, Long Rock Maple Bowstave, (2)Hardened Leather Bow String, (5)Wax",2936,200,-2836,Production,Carpentry
Rock Maple Long Bow with Leather Bow String,"Carpentry Hammer, Long Rock Maple Bowstave, (2)Leather Bow String, (5)Wax",1916,200,-1816,Production,Carpentry
Rock Maple Long Bow with Supple Leather Bow String,"Carpentry Hammer, Long Rock Maple Bowstave, (2)Supple Leather Bow String, (5)Wax",2936,200,-2836,Production,Carpentry
Rock Maple Pole,"Cubit Measure, (6)Rock Maple Timber, Wax",1034,20,-1024,Refining,Milling
Rock Maple Short Bow with Carapacian Bow String,"Carpentry Hammer, Rock Maple Short Bowstave, Carapacian Bow String, (5)Wax",2030,150,-1955,Production,Carpentry
Rock Maple Short Bow with Fustian Bow String,"Carpentry Hammer, Rock Maple Short Bowstave, Fustian Bow String, (5)Wax",2030,150,-1955,Production,Carpentry
Rock Maple Short Bow with Hardened Leather Bow String,"Carpentry Hammer, Rock Maple Short Bowstave, Hardened Leather Bow String, (5)Wax",1990,150,-1915,Production,Carpentry
Rock Maple Short Bow with Leather Bow String,"Carpentry Hammer, Rock Maple Short Bowstave, Leather Bow String, (5)Wax",1480,150,-1405,Production,Carpentry
